"구분(1)",구분(2),2023,2023,2024,2024
"구분(1)",구분(2),불투수면,불투수면,불투수면,불투수면
"구분(1)",구분(2),면적 (m²),비율 (%),면적 (m²),비율 (%)
"충청남도",서천군,36243307,9.85,36559439,9.94
"충청남도",청양군,31727056,6.61,31425594,6.55
"충청남도",홍성군,48333733,10.89,48580737,10.95
"충청남도",예산군,57181901,10.52,57232804,10.53
"충청남도",태안군,45536753,8.49,46261162,8.63
"전북특별자치도",소계,698861350,8.59,706566774,8.67
"전북특별자치도",전주시 완산구,24777952,26.87,24838164,26.94
"전북특별자치도",전주시 덕진구,35616318,31.45,36081885,31.87
"전북특별자치도",군산시,73352075,17.54,74361734,17.78
"전북특별자치도",익산시,84513956,16.66,84702308,16.69
"전북특별자치도",정읍시,63596922,9.12,63714713,9.13
"전북특별자치도",남원시,58813736,7.84,57437629,7.66
"전북특별자치도",김제시,67311262,12.32,71919860,13.16
"전북특별자치도",완주군,57820940,7.03,58775643,7.15
"전북특별자치도",진안군,26621505,3.37,26938712,3.41
"전북특별자치도",무주군,21072510,3.34,21184904,3.36
"전북특별자치도",장수군,25238134,4.74,25061172,4.71
"전북특별자치도",임실군,28598250,4.79,29006123,4.86
"전북특별자치도",순창군,28412255,5.68,28555935,5.71
"전북특별자치도",고창군,58221890,9.51,58495032,9.55
"전북특별자치도",부안군,44893646,8.45,45492962,8.41
"전라남도",소계,944419334,7.58,948183455,7.62
"전라남도",목포시,22614098,41.81,22271937,41.18
"전라남도",여수시,64804540,12.25,64175941,12.13
"전라남도",순천시,63388335,6.95,63663352,6.98
"전라남도",나주시,68062104,11.23,68259146,11.27
"전라남도",광양시,65960360,14.01,65760900,13.96
"전라남도",담양군,37523333,8.27,37540574,8.28
"전라남도",곡성군,26247696,4.79,26405293,4.82
"전라남도",구례군,18424695,4.19,18971735,4.32
"전라남도",고흥군,54012724,6.62,55390340,6.79
"전라남도",보성군,37888744,5.69,37984902,5.70
"전라남도",화순군,34437982,4.37,35032183,4.44
"전라남도",장흥군,33205096,5.33,33704048,5.41
"전라남도",강진군,31766891,6.33,32017983,6.38
"전라남도",해남군,70712959,6.75,69920766,6.67
"전라남도",영암군,61885556,10.12,61436666,10.04
"전라남도",무안군,47644739,10.43,47249757,10.34
"전라남도",함평군,33177157,8.51,33593965,8.62
"전라남도",영광군,39666084,8.26,40354152,8.40
"전라남도",장성군,36446214,7.04,36784471,7.10
"전라남도",완도군,28755322,7.04,29052632,7.19
"전라남도",진도군,25825266,5.71,25840046,5.72
"전라남도",신안군,41969438,6.18,42772663,6.30
"경상북도",소계,1052085385,5.71,1060369093,5.75
"경상북도",포항시 남구,54936352,13.84,55442034,13.97
"경상북도",포항시 북구,43575184,5.91,44640792,6.05
"경상북도",경주시,95371704,7.22,97234124,7.36
"경상북도",김천시,66302446,6.59,67296066,6.69
"경상북도",안동시,65540785,4.29,65402734,4.28
"경상북도",구미시,75262149,12.26,76011406,12.38
"경상북도",영주시,41670892,6.19,41950888,6.23
"경상북도",영천시,53710157,5.86,55042744,6.01
"경상북도",상주시,68124515,5.44,68688388,5.48
"경상북도",문경시,36197722,3.96,36404398,3.98
"경상북도",경산시,57947318,14.09,56735367,13.80
"경상북도",의성군,47071118,4.02,47733072,4.08
"경상북도",청송군,19280995,2.27,19599079,2.31
"경상북도",영양군,16543829,2.02,16894789,2.06
"경상북도",영덕군,23784669,3.19,24419975,3.28
"경상북도",청도군,31387240,4.52,31961166,4.61
"경상북도",고령군,31676673,8.19,30369682,7.85
"경상북도",성주군,72599418,11.84,72537347,11.83
"경상북도",칠곡군,49749879,11.04,49852501,11.07
"경상북도",예천군,38930180,5.86,39025214,5.87
"경상북도",봉화군,32949441,2.74,33270680,2.77
"경상북도",울진군,26768612,2.69,27107930,2.72
"경상북도",울릉군,2704107,3.66,2748716,3.72
"경상남도",소계,904826450,8.56,913920977,8.65
"경상남도",창원시 의창구,37467662,18.34,37550323,18.38
"경상남도",창원시 성산구,29908706,33.55,29965462,33.61
"경상남도",창원시 마산합포구,23842848,9.81,24039569,9.89
"경상남도",창원시 마산회원구,14377113,15.81,14490975,15.93
"경상남도",창원시 진해구,22978567,18.04,23933267,18.79
"경상남도",진주시,82776586,11.61,82838854,11.62
"경상남도",통영시,24727116,9.92,24916154,9.99
"경상남도",사천시,38967203,9.69,39673654,9.86
"경상남도",김해시,93114142,20.15,93879957,20.31
"경상남도",밀양시,75110275,9.37,75498873,9.41
"경상남도",거제시,38796425,9.46,39196139,9.56
"경상남도",양산시,51508836,10.58,52459910,10.77
"경상남도",의령군,28776988,5.97,28536686,5.92
"경상남도",함안군,48309820,11.61,48438797,11.65
"경상남도",창녕군,43078357,8.12,43491171,8.20
"경상남도",고성군,36626404,7.04,38409559,7.38
"경상남도",남해군,24214153,6.67,24544850,6.76
"경상남도",하동군,40583723,5.99,40774527,6.02
"경상남도",산청군,38447740,4.85,38552313,4.87
"경상남도",함양군,29997124,4.16,30370523,4.21
"경상남도",거창군,37022088,4.63,37551750,4.70
"경상남도",합천군,44194577,4.49,44807663,4.55
"제주특별자치도",소계,247358326,13.26,250596879,13.43
"제주특별자치도",제주시,125175980,12.72,126529529,12.85
"제주특별자치도",서귀포시,122182346,13.86,124067350,14.07
