"대장관리번호","시설물 종류 코드","코드명","수량(개)","면적(㎡)","연장(m)","빗물 관리량(㎥/h)","저류 용량(㎥)","자치구코드","자치구명","준공일"
"1567","FGN005","정방형침투통","66","","","11","","11290","성북구","2017-12-14 00:00:00.0"
"1566","FGN001","투수성포장","0","1130","","19","","11650","서초구","2017-07-19 00:00:00.0"
"1565","FGN001","투수성포장","0","986","","17","","11320","도봉구","2017-07-04 00:00:00.0"
"1564","FGN001","투수성포장","0","972","","17","","11320","도봉구","2017-07-04 00:00:00.0"
"1563","FGN005","정방형침투통","2","","","0","","11500","강서구","2017-12-31 00:00:00.0"
"1562","FGN005","정방형침투통","2","0","","0","","11500","강서구","2017-12-31 00:00:00.0"
"1561","FGN999","기타","0","0","19","1","","11500","강서구","2017-09-08 00:00:00.0"
"1560","FGN001","투수성포장","0","2300","0","39","0","11680","강남구","2017-06-20 00:00:00.0"
"1559","FGN06","저류조","0","0","0","5","98","11200","성동구","2017-12-22 00:00:00.0"
"1557","FGN003","침투트렌치","0","0","33","2","0","11215","광진구","2017-07-12 00:00:00.0"
"1556","FGN005","정방형침투통","3","0","0","1","0","11215","광진구","2017-12-14 00:00:00.0"
"1555","FGN003","침투트렌치","0","0","24","2","0","11215","광진구","2017-12-14 00:00:00.0"
"1554","FGN07","옥상녹화","0","51","0","1","0","11215","광진구","2017-11-16 00:00:00.0"
"1553","FGN005","정방형침투통","5","0","0","1","0","11215","광진구","2017-11-23 00:00:00.0"
"1552","FGN07","옥상녹화","0","149","0","1","0","11215","광진구","2017-11-20 00:00:00.0"
"1551","FGN07","옥상녹화","0","206","0","1","0","11215","광진구","2017-11-23 00:00:00.0"
"1550","FGN07","옥상녹화","0","217","0","1","0","11680","강남구","2017-11-20 00:00:00.0"
"1549","FGN07","옥상녹화","0","230","0","12","0","11560","영등포구","2017-10-24 00:00:00.0"
"1548","FGN005","정방형침투통","6","0","0","1","0","11590","동작구","2017-10-23 00:00:00.0"
