법정동명,법정동코드,반지하개수
서울특별시 영등포구 문래동2가,1156012000,18
서울특별시 영등포구 문래동3가,1156012100,43
서울특별시 영등포구 문래동4가,1156012200,6
서울특별시 영등포구 문래동5가,1156012300,28
서울특별시 영등포구 문래동6가,1156012400,33
서울특별시 영등포구 신길동,1156013200,550
서울특별시 영등포구 양평동1가,1156012500,28
서울특별시 영등포구 양평동2가,1156012600,37
서울특별시 영등포구 양평동3가,1156012700,24
서울특별시 영등포구 양평동4가,1156012800,18
서울특별시 영등포구 양평동5가,1156012900,30
서울특별시 영등포구 양평동6가,1156013000,19
서울특별시 영등포구 여의도동,1156011000,37
서울특별시 영등포구 영등포동,1156010100,27
서울특별시 영등포구 영등포동1가,1156010200,7
서울특별시 영등포구 영등포동4가,1156010500,1
서울특별시 영등포구 영등포동5가,1156010600,20
서울특별시 영등포구 영등포동6가,1156010700,1
서울특별시 영등포구 영등포동7가,1156010800,20
서울특별시 영등포구 영등포동8가,1156010900,38
서울특별시 용산구 도원동,1117012000,35
서울특별시 용산구 동빙고동,1117013200,138
서울특별시 용산구 문배동,1117012200,1
서울특별시 용산구 보광동,1117013600,153
서울특별시 용산구 산천동,1117011500,36
서울특별시 용산구 서빙고동,1117013300,3
서울특별시 용산구 신계동,1117012300,11
서울특별시 용산구 신창동,1117011400,30
서울특별시 용산구 용문동,1117012100,4
서울특별시 용산구 용산동2가,1117010200,1
서울특별시 용산구 용산동5가,1117012700,3
서울특별시 용산구 원효로1가,1117011200,29
서울특별시 용산구 원효로3가,1117011700,6
서울특별시 용산구 원효로4가,1117011800,23
서울특별시 용산구 이촌동,1117012900,185
서울특별시 용산구 이태원동,1117013000,2
서울특별시 용산구 청암동,1117011600,13
서울특별시 용산구 한강로1가,1117012400,16
서울특별시 용산구 한강로2가,1117012500,24
서울특별시 용산구 한강로3가,1117012800,51
서울특별시 용산구 한남동,1117013100,214
서울특별시 용산구 효창동,1117011900,90
서울특별시 용산구 후암동,1117010100,3
서울특별시 은평구 갈현동,1138010400,33
서울특별시 은평구 구산동,1138010500,34
서울특별시 은평구 녹번동,1138010200,33
서울특별시 은평구 대조동,1138010600,29
서울특별시 은평구 불광동,1138010300,188
서울특별시 은평구 수색동,1138010100,150
서울특별시 은평구 신사동,1138010900,70
서울특별시 은평구 역촌동,1138010800,33
서울특별시 은평구 응암동,1138010700,224
서울특별시 은평구 증산동,1138011000,291
서울특별시 은평구 진관동,1138011400,1167
서울특별시 종로구 구기동,1111018200,11
서울특별시 종로구 명륜1가,1111017000,3
서울특별시 종로구 명륜2가,1111017100,7
서울특별시 종로구 명륜4가,1111017200,1
서울특별시 종로구 무악동,1111018700,82
서울특별시 종로구 사직동,1111011500,19
서울특별시 종로구 숭인동,1111017500,5
서울특별시 종로구 신영동,1111018600,15
서울특별시 종로구 원남동,1111015900,1
서울특별시 종로구 창신동,1111017400,24
서울특별시 종로구 청운동,1111010100,13
서울특별시 종로구 충신동,1111016700,1
서울특별시 종로구 평동,1111017700,18
서울특별시 종로구 평창동,1111018300,35
서울특별시 종로구 행촌동,1111018100,7
서울특별시 종로구 홍파동,1111017900,17
서울특별시 중구 광희동2가,1114014600,1
서울특별시 중구 만리동1가,1114017300,40
서울특별시 중구 만리동2가,1114017400,22
서울특별시 중구 묵정동,1114013600,1
서울특별시 중구 산림동,1114015700,1
서울특별시 중구 순화동,1114016800,2
서울특별시 중구 신당동,1114016200,355
서울특별시 중구 예장동,1114014200,2
서울특별시 중구 을지로3가,1114015500,1
서울특별시 중구 을지로4가,1114015000,2
서울특별시 중구 인현동2가,1114013400,1
서울특별시 중구 입정동,1114015600,4
서울특별시 중구 장충동2가,1114014400,1
서울특별시 중구 정동,1114016700,2
서울특별시 중구 중림동,1114017100,51
서울특별시 중구 충무로5가,1114013300,2
서울특별시 중구 필동1가,1114013700,1
서울특별시 중구 황학동,1114016500,27
서울특별시 중구 회현동1가,1114012100,4
서울특별시 중랑구 망우동,1126010500,157
서울특별시 중랑구 면목동,1126010100,255
서울특별시 중랑구 묵동,1126010400,143
서울특별시 중랑구 상봉동,1126010200,111
서울특별시 중랑구 신내동,1126010600,491
서울특별시 중랑구 중화동,1126010300,62
